case,implementation,status,error,dimension,family,input_format,output_format,wb,betatotal,aspect,raxis_cc,volume_p,iotaf_edge,pressure_axis,plasma_current
DESC/inputs/QSC_r2_5.5_desc,vmex,failed,Unsupported: native DESC fixtures are not VMEC inputs,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
DESC/inputs/QSC_r2_5.5_vmec,chease,failed,Unsupported: CHEASE requires a 2-D GEQDSK input,3,grad_shafranov,vmec_indata_via_geqdsk,geqdsk,,,,,,,,
DESC/inputs/QSC_r2_5.5_vmec,desc,failed,Run failed,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
DESC/inputs/QSC_r2_5.5_vmec,educational_vmec,success,,3,vmec_family,vmec_indata,wout_netcdf,1.1316497260302324e-05,0.00015718040147074533,141.3914869320617,1.0000007126502906,0.0008939491917854543,0.8389820353006573,125.0,199.99999999999704
DESC/inputs/QSC_r2_5.5_vmec,freegs,failed,Unsupported: FreeGS is restricted to 2-D Grad-Shafranov cases,3,grad_shafranov,vmec_indata_or_case,geqdsk,,,,,,,,
DESC/inputs/QSC_r2_5.5_vmec,gvec,success,,3,vmec_family,vmec_indata,gvec_state,,,141.39148693207602,1.00000065843082,0.00089394919178543,-0.838946657502808,125.0,
DESC/inputs/QSC_r2_5.5_vmec,jvmec,failed,Run failed,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
DESC/inputs/QSC_r2_5.5_vmec,parvmec,success,,3,vmec_family,vmec_indata,wout_netcdf,1.1316497571887507e-05,0.00015718083719114953,141.3914869320439,0.9999991897604913,0.0008939491917854216,0.8419930277012959,125.0,200.00000000000944
DESC/inputs/QSC_r2_5.5_vmec,spec,failed,Unsupported: SPEC requires a native .sp input,3,spec_mhd,spec_namelist,spec_hdf5,,,,,,,,
DESC/inputs/QSC_r2_5.5_vmec,spectre,failed,Run failed,3,spectre_mhd,vmec_indata_or_spectre_toml,spectre_json,,,,,,,,
DESC/inputs/QSC_r2_5.5_vmec,vmec2000,success,,3,vmec_family,vmec_indata,wout_netcdf,1.1316497258427436e-05,0.00015718049311990546,141.3914869320617,0.9999996256580701,0.0008939491917854543,0.838487729683556,125.0,199.99999999999483
DESC/inputs/QSC_r2_5.5_vmec,vmecpp,success,,3,vmec_family,vmec_indata,wout_netcdf,1.1316497256774456e-05,0.0001571807240010159,141.39148693207287,0.9999988890666053,0.0008939491917854371,0.8390894003904148,125.0,200.00000000000057
DESC/inputs/QSC_r2_5.5_vmec,vmex,failed,Run failed,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
PARVMEC/Testing/tests/fixed_boundary_test/test,chease,failed,Unsupported: CHEASE requires a 2-D GEQDSK input,3,grad_shafranov,vmec_indata_via_geqdsk,geqdsk,,,,,,,,
PARVMEC/Testing/tests/fixed_boundary_test/test,desc,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0007407048164296386,0.0,3.0000000004573946,0.7496981442889861,0.9252754127431984,-0.3406423468043729,0.0,-39999.999939999994
PARVMEC/Testing/tests/fixed_boundary_test/test,educational_vmec,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0009060875979730089,0.013002013853449379,3.0,0.7637736466798857,0.9252754126021275,0.3083295250113212,399.99999999999994,39999.973132979096
PARVMEC/Testing/tests/fixed_boundary_test/test,freegs,failed,Unsupported: FreeGS is restricted to 2-D Grad-Shafranov cases,3,grad_shafranov,vmec_indata_or_case,geqdsk,,,,,,,,
PARVMEC/Testing/tests/fixed_boundary_test/test,gvec,failed,Unsupported: VMEC pressure profile of type line_segment is not supported for conversion,3,vmec_family,vmec_indata,gvec_state,,,,,,,,
PARVMEC/Testing/tests/fixed_boundary_test/test,jvmec,failed,Run failed,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
PARVMEC/Testing/tests/fixed_boundary_test/test,parvmec,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0009060875979730088,0.013002013853449377,3.0,0.7637736466799214,0.9252754126021275,0.3083295250110869,399.99999999999994,39999.97313297914
PARVMEC/Testing/tests/fixed_boundary_test/test,spec,failed,Unsupported: SPEC requires a native .sp input,3,spec_mhd,spec_namelist,spec_hdf5,,,,,,,,
PARVMEC/Testing/tests/fixed_boundary_test/test,spectre,failed,Run failed,3,spectre_mhd,vmec_indata_or_spectre_toml,spectre_json,,,,,,,,
PARVMEC/Testing/tests/fixed_boundary_test/test,vmec2000,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0009060875974802023,0.013002013860521097,3.0,0.7637736464447666,0.9252754126021275,0.30832952567925953,399.99999999999994,39999.9731589183
PARVMEC/Testing/tests/fixed_boundary_test/test,vmecpp,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0007511056665448165,0.0,3.0,0.7639095531770191,0.9252754126021275,0.3395777414675736,0.0,39999.97313297914
PARVMEC/Testing/tests/fixed_boundary_test/test,vmex,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0007511056686672606,0.01568482945508706,3.0,0.7639080816928879,0.9252754126021274,0.3395787480204453,399.99999999999994,39999.97313297912
PARVMEC/Testing/tests/free_boundary_test/test,chease,failed,Unsupported: CHEASE requires a 2-D GEQDSK input,3,grad_shafranov,vmec_indata_via_geqdsk,geqdsk,,,,,,,,
PARVMEC/Testing/tests/free_boundary_test/test,desc,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0012731062679220786,0.0227398635245009,5.485829957848705,0.8076147117674333,0.31539670994943586,-0.14499208017226325,432.290809,-43229.080859999995
PARVMEC/Testing/tests/free_boundary_test/test,educational_vmec,failed,Run failed,3,vmec_family,vmec_indata,wout_netcdf,,,,,,,,
PARVMEC/Testing/tests/free_boundary_test/test,freegs,failed,Unsupported: FreeGS is restricted to 2-D Grad-Shafranov cases,3,grad_shafranov,vmec_indata_or_case,geqdsk,,,,,,,,
PARVMEC/Testing/tests/free_boundary_test/test,gvec,failed,Unsupported: VMEC pressure profile of type two_power is not supported for conversion,3,vmec_family,vmec_indata,gvec_state,,,,,,,,
PARVMEC/Testing/tests/free_boundary_test/test,jvmec,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0012835848344727862,0.0,5.427363511127601,0.7737277511162104,0.30656077225986716,0.8641301112797859,0.0,43229.26499463139
PARVMEC/Testing/tests/free_boundary_test/test,parvmec,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0012836281706449242,0.0018721345983941213,5.433260965413832,0.7733427234232358,0.30699247599444573,0.8647933109630438,432.3209489619426,43229.26499463163
PARVMEC/Testing/tests/free_boundary_test/test,spec,failed,Unsupported: SPEC requires a native .sp input,3,spec_mhd,spec_namelist,spec_hdf5,,,,,,,,
PARVMEC/Testing/tests/free_boundary_test/test,spectre,failed,Run failed,3,spectre_mhd,vmec_indata_or_spectre_toml,spectre_json,,,,,,,,
PARVMEC/Testing/tests/free_boundary_test/test,vmec2000,success,,3,vmec_family,vmec_indata,wout_netcdf,0.0012836281700257428,0.0018721345951390508,5.433260964944784,0.7733427229523283,0.3069924752230543,0.8647933109871311,432.3209489619426,43229.265025861474
PARVMEC/Testing/tests/free_boundary_test/test,vmecpp,success,,3,vmec_family,vmec_indata,wout_netcdf,0.001283584834495276,0.0018737573549696556,5.434959522108977,0.7737277510921864,0.3072624884985038,0.8641301117188315,432.3209489619426,43229.26499463133
