case,implementation,runtime_seconds,timing_source
educational_VMEC/from_MattLandreman_vmec_equilibria/HSX/filtered_to_remove_modular_ripple/hsxt,gvec,50.9,GVEC finished after (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/HSX/filtered_to_remove_modular_ripple/hsxt,jvmec,154.13,total execution time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/HSX/filtered_to_remove_modular_ripple/hsxt,parvmec,15.88,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/HSX/filtered_to_remove_modular_ripple/hsxt,vmec2000,15.79,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/HSX/filtered_to_remove_modular_ripple/hsxt,vmecpp,30.31,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/HSX/filtered_to_remove_modular_ripple/hsxt,vmex,48.45,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/HSX/free_boundary/HSX,desc,116.68,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/ITER/hybridAxisymmFixedBoundaryNs201/ITER_hybridAxisymmFixedBoundaryNs201,desc,477.21,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/ITER/hybridAxisymmFixedBoundaryNs201/ITER_hybridAxisymmFixedBoundaryNs201,gvec,25.9,GVEC finished after (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/ITER/hybridAxisymmFixedBoundaryNs201/ITER_hybridAxisymmFixedBoundaryNs201,parvmec,551.22,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/ITER/hybridAxisymmFixedBoundaryNs201/ITER_hybridAxisymmFixedBoundaryNs201,vmecpp,2.95,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/ITER_model/ns201/ITERModel,desc,45.39,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/ITER_model/ns201/ITERModel,educational_vmec,11.13,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/ITER_model/ns201/ITERModel,gvec,9.4,GVEC finished after (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/ITER_model/ns201/ITERModel,jvmec,15.6,total execution time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/ITER_model/ns201/ITERModel,parvmec,5.49,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/ITER_model/ns201/ITERModel,vmec2000,5.82,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/ITER_model/ns201/ITERModel,vmecpp,3.88,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/ITER_model/ns201/ITERModel,vmex,45.28,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/KuBoozer_2011_NuclFusion_QHS/n4qh.b4.a79a/n4qh.b4.a79a,desc,108.34,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/KuBoozer_2011_NuclFusion_QHS/n4qh.b4.a79a/n4qh.b4.a79a,educational_vmec,0.72,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/KuBoozer_2011_NuclFusion_QHS/n4qh.b4.a79a/n4qh.b4.a79a,parvmec,2.54,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/KuBoozer_2011_NuclFusion_QHS/n4qh.b4.a79a/n4qh.b4.a79a,vmec2000,2.43,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/KuBoozer_2011_NuclFusion_QHS/n4qh.b4.a79a/n4qh.b4.a79a,vmecpp,3.85,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/KuBoozer_2011_NuclFusion_QHS/n4qh.b4.a79a/n4qh.b4.a79a,vmex,21.08,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/KuBoozer_2011_NuclFusion_QHS/n5qh.fx3.a55z/n5qh.fx3.a55z,desc,102.77,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/KuBoozer_2011_NuclFusion_QHS/n5qh.fx3.a55z/n5qh.fx3.a55z,educational_vmec,0.54,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/KuBoozer_2011_NuclFusion_QHS/n5qh.fx3.a55z/n5qh.fx3.a55z,parvmec,2.05,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/KuBoozer_2011_NuclFusion_QHS/n5qh.fx3.a55z/n5qh.fx3.a55z,vmec2000,1.98,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/KuBoozer_2011_NuclFusion_QHS/n5qh.fx3.a55z/n5qh.fx3.a55z,vmecpp,3.65,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/KuBoozer_2011_NuclFusion_QHS/n5qh.fx3.a55z/n5qh.fx3.a55z,vmex,20.19,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NCSX/161s1_from_Mynick/161s1,desc,125.12,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NCSX/161s1_from_Mynick/161s1,educational_vmec,9.81,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NCSX/161s1_from_Mynick/161s1,parvmec,2.24,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NCSX/161s1_from_Mynick/161s1,vmec2000,2.21,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NCSX/161s1_from_Mynick/161s1,vmecpp,3.89,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NCSX/161s1_from_Mynick/161s1,vmex,25.74,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NCSX/free_boundary_from_vmec_wiki/ncsx_c09r00_free,desc,268.24,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NCSX/li383_1.4m/li383_1.4m,desc,118.24,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NCSX/li383_1.4m/li383_1.4m,educational_vmec,0.53,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NCSX/li383_1.4m/li383_1.4m,parvmec,2.2,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NCSX/li383_1.4m/li383_1.4m,vmec2000,2.17,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NCSX/li383_1.4m/li383_1.4m,vmecpp,3.99,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NCSX/li383_1.4m/li383_1.4m,vmex,22.11,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NCSX/li383_1.4m_highResolution/li383_1.4m,educational_vmec,3.02,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NCSX/li383_1.4m_highResolution/li383_1.4m,parvmec,161.29,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NCSX/li383_1.4m_highResolution/li383_1.4m,vmec2000,157.48,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NCSX/li383_1.4m_highResolution/li383_1.4m,vmecpp,6.03,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NCSX/li383_1.4m_highResolution/li383_1.4m,vmex,558.6,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NuhrenbergZille_1988_QHS/ns201/NuhrenbergZille_1988_QHS,desc,496.97,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NuhrenbergZille_1988_QHS/ns201/NuhrenbergZille_1988_QHS,educational_vmec,480.71,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NuhrenbergZille_1988_QHS/ns201/NuhrenbergZille_1988_QHS,gvec,105.9,GVEC finished after (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NuhrenbergZille_1988_QHS/ns201/NuhrenbergZille_1988_QHS,parvmec,91.8,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NuhrenbergZille_1988_QHS/ns201/NuhrenbergZille_1988_QHS,vmec2000,91.77,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NuhrenbergZille_1988_QHS/ns201/NuhrenbergZille_1988_QHS,vmecpp,79.52,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NuhrenbergZille_1988_QHS/ns201/NuhrenbergZille_1988_QHS,vmex,251.94,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NuhrenbergZille_1988_QHS/ns51/NuhrenbergZille_1988_QHS,desc,280.65,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NuhrenbergZille_1988_QHS/ns51/NuhrenbergZille_1988_QHS,educational_vmec,0.64,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NuhrenbergZille_1988_QHS/ns51/NuhrenbergZille_1988_QHS,gvec,75.7,GVEC finished after (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NuhrenbergZille_1988_QHS/ns51/NuhrenbergZille_1988_QHS,jvmec,38.42,total execution time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NuhrenbergZille_1988_QHS/ns51/NuhrenbergZille_1988_QHS,parvmec,3.66,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NuhrenbergZille_1988_QHS/ns51/NuhrenbergZille_1988_QHS,vmec2000,3.62,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NuhrenbergZille_1988_QHS/ns51/NuhrenbergZille_1988_QHS,vmecpp,4.97,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/NuhrenbergZille_1988_QHS/ns51/NuhrenbergZille_1988_QHS,vmex,24.73,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/QHS46/ns201/qhs46_ns201,parvmec,329.92,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/QHS46/ns201/qhs46_ns201,vmec2000,300.26,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/QHS46/ns201/qhs46_ns201,vmecpp,248.05,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/QHS46/wistell_website_base_case/qhs46,desc,117.2,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/QHS46/wistell_website_base_case/qhs46,educational_vmec,4.77,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/QHS46/wistell_website_base_case/qhs46,jvmec,19.99,total execution time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/QHS46/wistell_website_base_case/qhs46,parvmec,1.52,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/QHS46/wistell_website_base_case/qhs46,vmec2000,1.41,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/QHS46/wistell_website_base_case/qhs46,vmecpp,6.93,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/TJ-II/100_44_64_0/100_44_64_0.0,educational_vmec,16.34,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/TJ-II/100_44_64_0/100_44_64_0.0,parvmec,150.4,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/TJ-II/100_44_64_0/100_44_64_0.0,vmec2000,145.65,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/TJ-II/100_44_64_0/100_44_64_0.0,vmecpp,131.13,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/TJ-II/100_44_64_0/100_44_64_0.0,vmex,433.24,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/W7-X/Standard_fixed_boundary/W7-X_standard_configuration,desc,407.64,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/W7-X/Standard_fixed_boundary/W7-X_standard_configuration,educational_vmec,0.9,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/W7-X/Standard_fixed_boundary/W7-X_standard_configuration,gvec,95.1,GVEC finished after (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/W7-X/Standard_fixed_boundary/W7-X_standard_configuration,jvmec,65.14,total execution time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/W7-X/Standard_fixed_boundary/W7-X_standard_configuration,parvmec,5.77,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/W7-X/Standard_fixed_boundary/W7-X_standard_configuration,vmec2000,5.43,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/W7-X/Standard_fixed_boundary/W7-X_standard_configuration,vmecpp,7.56,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/W7-X/Standard_fixed_boundary/W7-X_standard_configuration,vmex,35.89,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/W7-X/fixedBoundaryBeforeCoilOptimmizationFromDrevlak/d23p4_tm,desc,504.57,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/W7-X/fixedBoundaryBeforeCoilOptimmizationFromDrevlak/d23p4_tm,educational_vmec,9.84,GNU time real (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/W7-X/fixedBoundaryBeforeCoilOptimmizationFromDrevlak/d23p4_tm,gvec,119.3,GVEC finished after (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/W7-X/fixedBoundaryBeforeCoilOptimmizationFromDrevlak/d23p4_tm,parvmec,364.26,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/W7-X/fixedBoundaryBeforeCoilOptimmizationFromDrevlak/d23p4_tm,vmec2000,351.39,total computational time (s)
educational_VMEC/from_MattLandreman_vmec_equilibria/W7-X/fixedBoundaryBeforeCoilOptimmizationFromDrevlak/d23p4_tm,vmecpp,260.03,GNU time real (s)
educational_VMEC/from_SIMSOPT/2_Intermediate/QAS,desc,262.66,GNU time real (s)
educational_VMEC/from_SIMSOPT/2_Intermediate/QAS,educational_vmec,1.3,GNU time real (s)
educational_VMEC/from_SIMSOPT/2_Intermediate/QAS,parvmec,17.99,total computational time (s)
educational_VMEC/from_SIMSOPT/2_Intermediate/QAS,vmec2000,18.65,total computational time (s)
educational_VMEC/from_SIMSOPT/2_Intermediate/QAS,vmecpp,20.18,GNU time real (s)
educational_VMEC/from_SIMSOPT/2_Intermediate/QAS,vmex,62.37,total computational time (s)
educational_VMEC/from_SIMSOPT/2_Intermediate/nfp2_QA,desc,47.8,GNU time real (s)
educational_VMEC/from_SIMSOPT/2_Intermediate/nfp2_QA,educational_vmec,1.45,GNU time real (s)
educational_VMEC/from_SIMSOPT/2_Intermediate/nfp2_QA,gvec,3.4,GVEC finished after (s)
educational_VMEC/from_SIMSOPT/2_Intermediate/nfp2_QA,jvmec,15.01,total execution time (s)
educational_VMEC/from_SIMSOPT/2_Intermediate/nfp2_QA,parvmec,0.43,total computational time (s)
educational_VMEC/from_SIMSOPT/2_Intermediate/nfp2_QA,vmec2000,0.43,total computational time (s)
educational_VMEC/from_SIMSOPT/2_Intermediate/nfp2_QA,vmecpp,2.08,GNU time real (s)
educational_VMEC/from_SIMSOPT/2_Intermediate/nfp2_QA,vmex,17.76,total computational time (s)
educational_VMEC/from_SIMSOPT/2_Intermediate/nfp4_QH_warm_start,desc,68.23,GNU time real (s)
educational_VMEC/from_SIMSOPT/2_Intermediate/nfp4_QH_warm_start,educational_vmec,4.52,GNU time real (s)
educational_VMEC/from_SIMSOPT/2_Intermediate/nfp4_QH_warm_start,gvec,44.1,GVEC finished after (s)
educational_VMEC/from_SIMSOPT/2_Intermediate/nfp4_QH_warm_start,jvmec,18.32,total execution time (s)
educational_VMEC/from_SIMSOPT/2_Intermediate/nfp4_QH_warm_start,parvmec,1.35,total computational time (s)
educational_VMEC/from_SIMSOPT/2_Intermediate/nfp4_QH_warm_start,vmec2000,1.46,total computational time (s)
educational_VMEC/from_SIMSOPT/2_Intermediate/nfp4_QH_warm_start,vmecpp,2.8,GNU time real (s)
educational_VMEC/from_SIMSOPT/2_Intermediate/nfp4_QH_warm_start,vmex,20.27,total computational time (s)
educational_VMEC/from_SIMSOPT/3_Advanced/nfp2_QA_iota0.4_withIslands,desc,68.17,GNU time real (s)
educational_VMEC/from_SIMSOPT/3_Advanced/nfp2_QA_iota0.4_withIslands,educational_vmec,2.61,GNU time real (s)
educational_VMEC/from_SIMSOPT/3_Advanced/nfp2_QA_iota0.4_withIslands,gvec,34.9,GVEC finished after (s)
educational_VMEC/from_SIMSOPT/3_Advanced/nfp2_QA_iota0.4_withIslands,jvmec,23.82,total execution time (s)
educational_VMEC/from_SIMSOPT/3_Advanced/nfp2_QA_iota0.4_withIslands,parvmec,0.87,total computational time (s)
educational_VMEC/from_SIMSOPT/3_Advanced/nfp2_QA_iota0.4_withIslands,vmec2000,0.87,total computational time (s)
educational_VMEC/from_SIMSOPT/3_Advanced/nfp2_QA_iota0.4_withIslands,vmecpp,2.16,GNU time real (s)
educational_VMEC/from_SIMSOPT/3_Advanced/nfp2_QA_iota0.4_withIslands,vmex,19.08,total computational time (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/1DOF_Garabedian,desc,63.3,GNU time real (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/1DOF_Garabedian,educational_vmec,0.31,GNU time real (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/1DOF_Garabedian,gvec,29.6,GVEC finished after (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/1DOF_Garabedian,jvmec,5.22,total execution time (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/1DOF_Garabedian,parvmec,0.11,total computational time (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/1DOF_Garabedian,vmec2000,0.1,total computational time (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/1DOF_Garabedian,vmecpp,0.85,GNU time real (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/1DOF_Garabedian,vmex,11.81,total computational time (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/2DOF_circularCrossSection_varyAxis_targetIotaAndQuasisymmetry,desc,67.36,GNU time real (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/2DOF_circularCrossSection_varyAxis_targetIotaAndQuasisymmetry,educational_vmec,1.1,GNU time real (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/2DOF_circularCrossSection_varyAxis_targetIotaAndQuasisymmetry,jvmec,12.8,total execution time (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/2DOF_circularCrossSection_varyAxis_targetIotaAndQuasisymmetry,parvmec,0.31,total computational time (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/2DOF_circularCrossSection_varyAxis_targetIotaAndQuasisymmetry,vmec2000,0.31,total computational time (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/2DOF_circularCrossSection_varyAxis_targetIotaAndQuasisymmetry,vmecpp,1.27,GNU time real (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/2DOF_circularCrossSection_varyAxis_targetIotaAndQuasisymmetry,vmex,19.85,total computational time (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/2DOF_vmecOnly_targetIotaAndVolume,desc,63.07,GNU time real (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/2DOF_vmecOnly_targetIotaAndVolume,educational_vmec,0.36,GNU time real (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/2DOF_vmecOnly_targetIotaAndVolume,gvec,30.0,GVEC finished after (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/2DOF_vmecOnly_targetIotaAndVolume,jvmec,6.21,total execution time (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/2DOF_vmecOnly_targetIotaAndVolume,parvmec,0.12,total computational time (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/2DOF_vmecOnly_targetIotaAndVolume,vmec2000,0.12,total computational time (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/2DOF_vmecOnly_targetIotaAndVolume,vmecpp,0.75,GNU time real (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/2DOF_vmecOnly_targetIotaAndVolume,vmex,11.34,total computational time (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/stellopt_scenarios_7dof,desc,68.4,GNU time real (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/stellopt_scenarios_7dof,educational_vmec,1.08,GNU time real (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/stellopt_scenarios_7dof,gvec,36.3,GVEC finished after (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/stellopt_scenarios_7dof,jvmec,13.3,total execution time (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/stellopt_scenarios_7dof,parvmec,0.32,total computational time (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/stellopt_scenarios_7dof,vmec2000,0.33,total computational time (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/stellopt_scenarios_7dof,vmecpp,1.4,GNU time real (s)
educational_VMEC/from_SIMSOPT/stellarator_benchmarks/stellopt_scenarios_7dof,vmex,18.67,total computational time (s)
educational_VMEC/from_STELLOPT_246/Asym/asdex.tichman,desc,61.55,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Asym/asdex_fixed,desc,60.6,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d.071273.02375,desc,116.46,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d.082205.03665,desc,300.53,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d.082205.13665,desc,61.02,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d.087977.12580,desc,61.09,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d.107781.02975,desc,325.26,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d.107781.12975,desc,59.1,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole,desc,54.66,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole,educational_vmec,0.41,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole,gvec,21.4,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole,parvmec,2.09,total computational time (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole,spectre,0.221,SPECTRE minimization time (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole,vmec2000,15.96,total computational time (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole,vmecpp,4.85,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole,vmex,38.32,total computational time (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole5,desc,54.54,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole5,educational_vmec,0.5,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole5,gvec,21.5,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole5,jvmec,23.51,total execution time (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole5,parvmec,2.8,total computational time (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole5,spectre,0.185,SPECTRE minimization time (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole5,vmec2000,3.93,total computational time (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole5,vmecpp,6.93,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole5,vmex,48.54,total computational time (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole55,desc,53.57,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole55,educational_vmec,0.25,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole55,gvec,21.6,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole55,jvmec,10.6,total execution time (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole55,parvmec,0.8,total computational time (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole55,spectre,0.226,SPECTRE minimization time (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole55,vmec2000,30.7,total computational time (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole55,vmecpp,1.92,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_curhole55,vmex,29.58,total computational time (s)
educational_VMEC/from_STELLOPT_246/Asym/d3d_fixed,desc,60.79,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Asym/test,desc,56.1,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Asym/test,educational_vmec,0.56,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Asym/test,gvec,21.5,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Asym/test,parvmec,3.17,total computational time (s)
educational_VMEC/from_STELLOPT_246/Asym/test,spectre,0.234,SPECTRE minimization time (s)
educational_VMEC/from_STELLOPT_246/Asym/test,vmec2000,7.34,total computational time (s)
educational_VMEC/from_STELLOPT_246/Asym/test,vmecpp,2.49,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf,desc,93.72,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf,educational_vmec,1.01,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf,gvec,35.1,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf,jvmec,37.46,total execution time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf,parvmec,1.25,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf,vmec2000,1.59,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf,vmecpp,3.09,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf,vmex,19.84,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf0,desc,106.72,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf0,educational_vmec,1.02,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf0,gvec,36.0,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf0,parvmec,4.77,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf0,spectre,55.0,SPECTRE minimization time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf0,vmec2000,4.78,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf0,vmecpp,5.16,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf14,desc,86.79,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf14,educational_vmec,1.01,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf14,gvec,35.7,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf14,parvmec,5.44,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf14,vmec2000,5.58,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf14,vmecpp,5.44,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf14,vmex,36.52,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf14_10X8,desc,178.94,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf14_10X8,educational_vmec,1.16,GNU time real (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf14_10X8,gvec,59.2,GVEC finished after (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf14_10X8,parvmec,12.62,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf14_10X8,vmec2000,12.99,total computational time (s)
educational_VMEC/from_STELLOPT_246/Benchmarks/atf14_10X8,vmecpp,11.96,GNU time real (s)
