case,implementation,quality_status,quality_metric,residual,tolerance,residual_over_tolerance,iterations,solver_status,quality_source
educational_VMEC/from_STELLOPT_246/atf,vmecpp,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.993078965642982e-12,1e-11,0.9993078965642982,824.0,0,wout_input.nc
educational_VMEC/from_STELLOPT_246/atf,vmex,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.64064786015069e-12,1e-11,0.9640647860150691,674.0,0,wout_atf.nc
educational_VMEC/from_STELLOPT_246/atf0,desc,converged,maximum normalized force error,0.095,,,2.0,success,desc.log
educational_VMEC/from_STELLOPT_246/atf0,educational_vmec,not_converged,"max(|fsqr|,|fsqz|,|fsql|)",0.6973312884581769,1e-11,69733128845.8177,2.0,0,wout_vmec.nc
educational_VMEC/from_STELLOPT_246/atf0,gvec,not_converged,|force|,1.19e-06,1e-07,11.9,10000.0,finished,gvec.log
educational_VMEC/from_STELLOPT_246/atf0,jvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.713348445547447e-12,1e-11,0.9713348445547447,0.0,0,wout_input_cleaned.nc
educational_VMEC/from_STELLOPT_246/atf0,parvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.632008138950895e-12,1e-11,0.9632008138950896,618.0,0,wout_atf0.nc
educational_VMEC/from_STELLOPT_246/atf0,vmec2000,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.632012710903738e-12,1e-11,0.9632012710903739,618.0,0,wout_atf0.nc
educational_VMEC/from_STELLOPT_246/atf0,vmecpp,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.83565514328909e-12,1e-11,0.983565514328909,763.0,0,wout_input.nc
educational_VMEC/from_STELLOPT_246/atf0,vmex,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.632008635162139e-12,1e-11,0.9632008635162139,617.0,0,wout_atf0.nc
educational_VMEC/from_STELLOPT_246/dshape,desc,converged,maximum normalized force error,0.002311,,,8.0,success,desc.log
educational_VMEC/from_STELLOPT_246/ellipse,desc,converged,maximum normalized force error,0.07286,,,7.0,success,desc.log
educational_VMEC/from_STELLOPT_246/isaev1,desc,converged,maximum normalized force error,0.004595,,,3.0,success,desc.log
educational_VMEC/from_STELLOPT_246/isaev1,educational_vmec,not_converged,"max(|fsqr|,|fsqz|,|fsql|)",0.27500560928304335,1e-09,275005609.2830433,2.0,0,wout_vmec.nc
educational_VMEC/from_STELLOPT_246/isaev1,gvec,not_converged,|force|,9.23e-07,1e-07,9.23,10000.0,finished,gvec.log
educational_VMEC/from_STELLOPT_246/isaev1,jvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.978151321404142e-10,1e-09,0.9978151321404142,0.0,0,wout_input_cleaned.nc
educational_VMEC/from_STELLOPT_246/isaev1,parvmec,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.990267459839583e-10,1e-09,0.9990267459839582,969.0,0,wout_isaev1.nc
educational_VMEC/from_STELLOPT_246/isaev1,vmec2000,converged,"max(|fsqr|,|fsqz|,|fsql|)",9.990283287577023e-10,1e-09,0.9990283287577023,969.0,0,wout_isaev1.nc
