case,implementation,metric,value
DESC/inputs/QSC_r2_5.5_vmec,vmec2000,iotaf_edge,0.838487729683556
DESC/inputs/QSC_r2_5.5_vmec,vmec2000,pressure_axis,125.0
DESC/inputs/QSC_r2_5.5_vmec,vmec2000,plasma_current,199.99999999999483
DESC/inputs/QSC_r2_5.5_vmec,vmecpp,wb,1.1316497256774456e-05
DESC/inputs/QSC_r2_5.5_vmec,vmecpp,betatotal,0.0001571807240010159
DESC/inputs/QSC_r2_5.5_vmec,vmecpp,aspect,141.39148693207287
DESC/inputs/QSC_r2_5.5_vmec,vmecpp,raxis_cc,0.9999988890666053
DESC/inputs/QSC_r2_5.5_vmec,vmecpp,volume_p,0.0008939491917854371
DESC/inputs/QSC_r2_5.5_vmec,vmecpp,iotaf_edge,0.8390894003904148
DESC/inputs/QSC_r2_5.5_vmec,vmecpp,pressure_axis,125.0
DESC/inputs/QSC_r2_5.5_vmec,vmecpp,plasma_current,200.00000000000057
PARVMEC/Testing/tests/fixed_boundary_test/test,desc,wb,0.0007407048164296386
PARVMEC/Testing/tests/fixed_boundary_test/test,desc,betatotal,0.0
PARVMEC/Testing/tests/fixed_boundary_test/test,desc,aspect,3.0000000004573946
PARVMEC/Testing/tests/fixed_boundary_test/test,desc,raxis_cc,0.7496981442889861
PARVMEC/Testing/tests/fixed_boundary_test/test,desc,volume_p,0.9252754127431984
PARVMEC/Testing/tests/fixed_boundary_test/test,desc,iotaf_edge,-0.3406423468043729
PARVMEC/Testing/tests/fixed_boundary_test/test,desc,pressure_axis,0.0
PARVMEC/Testing/tests/fixed_boundary_test/test,desc,plasma_current,-39999.999939999994
PARVMEC/Testing/tests/fixed_boundary_test/test,educational_vmec,wb,0.0009060875979730089
PARVMEC/Testing/tests/fixed_boundary_test/test,educational_vmec,betatotal,0.013002013853449379
PARVMEC/Testing/tests/fixed_boundary_test/test,educational_vmec,aspect,3.0
PARVMEC/Testing/tests/fixed_boundary_test/test,educational_vmec,raxis_cc,0.7637736466798857
PARVMEC/Testing/tests/fixed_boundary_test/test,educational_vmec,volume_p,0.9252754126021275
PARVMEC/Testing/tests/fixed_boundary_test/test,educational_vmec,iotaf_edge,0.3083295250113212
PARVMEC/Testing/tests/fixed_boundary_test/test,educational_vmec,pressure_axis,399.99999999999994
PARVMEC/Testing/tests/fixed_boundary_test/test,educational_vmec,plasma_current,39999.973132979096
PARVMEC/Testing/tests/fixed_boundary_test/test,parvmec,wb,0.0009060875979730088
PARVMEC/Testing/tests/fixed_boundary_test/test,parvmec,betatotal,0.013002013853449377
PARVMEC/Testing/tests/fixed_boundary_test/test,parvmec,aspect,3.0
PARVMEC/Testing/tests/fixed_boundary_test/test,parvmec,raxis_cc,0.7637736466799214
PARVMEC/Testing/tests/fixed_boundary_test/test,parvmec,volume_p,0.9252754126021275
PARVMEC/Testing/tests/fixed_boundary_test/test,parvmec,iotaf_edge,0.3083295250110869
PARVMEC/Testing/tests/fixed_boundary_test/test,parvmec,pressure_axis,399.99999999999994
PARVMEC/Testing/tests/fixed_boundary_test/test,parvmec,plasma_current,39999.97313297914
PARVMEC/Testing/tests/fixed_boundary_test/test,vmec2000,wb,0.0009060875974802023
PARVMEC/Testing/tests/fixed_boundary_test/test,vmec2000,betatotal,0.013002013860521097
PARVMEC/Testing/tests/fixed_boundary_test/test,vmec2000,aspect,3.0
PARVMEC/Testing/tests/fixed_boundary_test/test,vmec2000,raxis_cc,0.7637736464447666
PARVMEC/Testing/tests/fixed_boundary_test/test,vmec2000,volume_p,0.9252754126021275
PARVMEC/Testing/tests/fixed_boundary_test/test,vmec2000,iotaf_edge,0.30832952567925953
PARVMEC/Testing/tests/fixed_boundary_test/test,vmec2000,pressure_axis,399.99999999999994
PARVMEC/Testing/tests/fixed_boundary_test/test,vmec2000,plasma_current,39999.9731589183
PARVMEC/Testing/tests/fixed_boundary_test/test,vmecpp,wb,0.0007511056665448165
PARVMEC/Testing/tests/fixed_boundary_test/test,vmecpp,betatotal,0.0
PARVMEC/Testing/tests/fixed_boundary_test/test,vmecpp,aspect,3.0
PARVMEC/Testing/tests/fixed_boundary_test/test,vmecpp,raxis_cc,0.7639095531770191
PARVMEC/Testing/tests/fixed_boundary_test/test,vmecpp,volume_p,0.9252754126021275
PARVMEC/Testing/tests/fixed_boundary_test/test,vmecpp,iotaf_edge,0.3395777414675736
PARVMEC/Testing/tests/fixed_boundary_test/test,vmecpp,pressure_axis,0.0
PARVMEC/Testing/tests/fixed_boundary_test/test,vmecpp,plasma_current,39999.97313297914
PARVMEC/Testing/tests/fixed_boundary_test/test,vmex,wb,0.0007511056686672606
PARVMEC/Testing/tests/fixed_boundary_test/test,vmex,betatotal,0.01568482945508706
PARVMEC/Testing/tests/fixed_boundary_test/test,vmex,aspect,3.0
PARVMEC/Testing/tests/fixed_boundary_test/test,vmex,raxis_cc,0.7639080816928879
PARVMEC/Testing/tests/fixed_boundary_test/test,vmex,volume_p,0.9252754126021274
PARVMEC/Testing/tests/fixed_boundary_test/test,vmex,iotaf_edge,0.3395787480204453
PARVMEC/Testing/tests/fixed_boundary_test/test,vmex,pressure_axis,399.99999999999994
PARVMEC/Testing/tests/fixed_boundary_test/test,vmex,plasma_current,39999.97313297912
PARVMEC/Testing/tests/free_boundary_test/test,desc,wb,0.0012731062679220786
PARVMEC/Testing/tests/free_boundary_test/test,desc,betatotal,0.0227398635245009
PARVMEC/Testing/tests/free_boundary_test/test,desc,aspect,5.485829957848705
PARVMEC/Testing/tests/free_boundary_test/test,desc,raxis_cc,0.8076147117674333
PARVMEC/Testing/tests/free_boundary_test/test,desc,volume_p,0.31539670994943586
PARVMEC/Testing/tests/free_boundary_test/test,desc,iotaf_edge,-0.14499208017226325
PARVMEC/Testing/tests/free_boundary_test/test,desc,pressure_axis,432.290809
PARVMEC/Testing/tests/free_boundary_test/test,desc,plasma_current,-43229.080859999995
PARVMEC/Testing/tests/free_boundary_test/test,jvmec,wb,0.0012835848344727862
PARVMEC/Testing/tests/free_boundary_test/test,jvmec,betatotal,0.0
PARVMEC/Testing/tests/free_boundary_test/test,jvmec,aspect,5.427363511127601
PARVMEC/Testing/tests/free_boundary_test/test,jvmec,raxis_cc,0.7737277511162104
PARVMEC/Testing/tests/free_boundary_test/test,jvmec,volume_p,0.30656077225986716
PARVMEC/Testing/tests/free_boundary_test/test,jvmec,iotaf_edge,0.8641301112797859
PARVMEC/Testing/tests/free_boundary_test/test,jvmec,pressure_axis,0.0
PARVMEC/Testing/tests/free_boundary_test/test,jvmec,plasma_current,43229.26499463139
PARVMEC/Testing/tests/free_boundary_test/test,parvmec,wb,0.0012836281706449242
PARVMEC/Testing/tests/free_boundary_test/test,parvmec,betatotal,0.0018721345983941213
PARVMEC/Testing/tests/free_boundary_test/test,parvmec,aspect,5.433260965413832
PARVMEC/Testing/tests/free_boundary_test/test,parvmec,raxis_cc,0.7733427234232358
PARVMEC/Testing/tests/free_boundary_test/test,parvmec,volume_p,0.30699247599444573
PARVMEC/Testing/tests/free_boundary_test/test,parvmec,iotaf_edge,0.8647933109630438
PARVMEC/Testing/tests/free_boundary_test/test,parvmec,pressure_axis,432.3209489619426
PARVMEC/Testing/tests/free_boundary_test/test,parvmec,plasma_current,43229.26499463163
PARVMEC/Testing/tests/free_boundary_test/test,vmec2000,wb,0.0012836281700257428
PARVMEC/Testing/tests/free_boundary_test/test,vmec2000,betatotal,0.0018721345951390508
PARVMEC/Testing/tests/free_boundary_test/test,vmec2000,aspect,5.433260964944784
PARVMEC/Testing/tests/free_boundary_test/test,vmec2000,raxis_cc,0.7733427229523283
PARVMEC/Testing/tests/free_boundary_test/test,vmec2000,volume_p,0.3069924752230543
PARVMEC/Testing/tests/free_boundary_test/test,vmec2000,iotaf_edge,0.8647933109871311
PARVMEC/Testing/tests/free_boundary_test/test,vmec2000,pressure_axis,432.3209489619426
PARVMEC/Testing/tests/free_boundary_test/test,vmec2000,plasma_current,43229.265025861474
PARVMEC/Testing/tests/free_boundary_test/test,vmecpp,wb,0.001283584834495276
PARVMEC/Testing/tests/free_boundary_test/test,vmecpp,betatotal,0.0018737573549696556
PARVMEC/Testing/tests/free_boundary_test/test,vmecpp,aspect,5.434959522108977
PARVMEC/Testing/tests/free_boundary_test/test,vmecpp,raxis_cc,0.7737277510921864
PARVMEC/Testing/tests/free_boundary_test/test,vmecpp,volume_p,0.3072624884985038
PARVMEC/Testing/tests/free_boundary_test/test,vmecpp,iotaf_edge,0.8641301117188315
PARVMEC/Testing/tests/free_boundary_test/test,vmecpp,pressure_axis,432.3209489619426
PARVMEC/Testing/tests/free_boundary_test/test,vmecpp,plasma_current,43229.26499463133
PARVMEC/Testing/tests/lasym_test/test_asym,desc,wb,0.0007407036076975752
PARVMEC/Testing/tests/lasym_test/test_asym,desc,betatotal,0.0
PARVMEC/Testing/tests/lasym_test/test_asym,desc,aspect,3.000000000477511
PARVMEC/Testing/tests/lasym_test/test_asym,desc,raxis_cc,0.7493429270598776
PARVMEC/Testing/tests/lasym_test/test_asym,desc,volume_p,0.9252754127494034
PARVMEC/Testing/tests/lasym_test/test_asym,desc,iotaf_edge,-0.3403724729878604
